study,seed,metric,configuration,geometric,memory,spectral,steps_requested,steps_completed,initial_loss,final_loss,best_loss,diverged,runtime_s,mean_geometric_force,mean_memory_force,mean_spectral_force
architecture,26,control,G0M1S0,0,1,0,300,300,-0.3830590467172863,-33.1987180036802,-33.1987180035179,0,0.09577489999355748,0.0,0.2880924153339365,0.0
architecture,26,control,G0M1S1,0,1,1,300,300,-0.3830590467172863,-33.19871790114797,-33.19871790223331,0,0.2995487000007415,0.0,0.2880974462657589,0.001420336506530622
architecture,26,control,G1M0S0,1,0,0,300,300,-0.3830590467172863,-33.198717819717665,-33.19871780208862,0,0.23898010000993963,0.02407266173142157,0.0,0.0
architecture,26,control,G1M0S1,1,0,1,300,300,-0.3830590467172863,-33.1987177557496,-33.19871774165086,0,0.46678329999849666,0.02406591581728203,0.0,0.0014110195561872858
architecture,26,control,G1M1S0,1,1,0,300,300,-0.3830590467172863,-33.198718003809915,-33.19871800366274,0,0.30994469999859575,0.02718277986094157,0.2859196363663131,0.0
architecture,26,control,G1M1S1,1,1,1,300,300,-0.3830590467172863,-33.198717901033234,-33.1987179022354,0,0.46544600000197534,0.027176327206467496,0.2859248461489386,0.0014195535080120144
architecture,26,hessian,G0M0S0,0,0,0,300,300,-0.3830590467172863,-33.19871800507696,-33.198718005076955,0,0.0806620999937877,0.0,0.0,0.0
architecture,26,hessian,G0M0S1,0,0,1,300,300,-0.3830590467172863,-33.19871743101311,-33.198717433277075,0,0.543942899996182,0.0,0.0,0.0031695799314523107
architecture,26,hessian,G0M1S0,0,1,0,300,300,-0.3830590467172863,-33.19871800507697,-33.19871800507698,0,0.07526450000295881,0.0,0.057883976342076655,0.0
architecture,26,hessian,G0M1S1,0,1,1,300,300,-0.3830590467172863,-33.198717558254174,-33.19871757566399,0,0.3101813000102993,0.0,0.057918596385767046,0.0031389736108789023
architecture,26,hessian,G1M0S0,1,0,0,300,300,-0.3830590467172863,-33.19871800507697,-33.198718005076955,0,0.2213125999987824,0.09585084397258328,0.0,0.0
architecture,26,hessian,G1M0S1,1,0,1,300,300,-0.3830590467172863,-33.198717430972124,-33.19871743097028,0,0.4529944000096293,0.0937770453912417,0.0,0.003254526151463649
architecture,26,hessian,G1M1S0,1,1,0,300,300,-0.3830590467172863,-33.19871800507697,-33.19871800507698,0,0.21451049999450333,0.0946559670202072,0.05889180466354032,0.0
architecture,26,hessian,G1M1S1,1,1,1,300,300,-0.3830590467172863,-33.19871755825385,-33.19871755825382,0,0.4493199000135064,0.09326473373895765,0.05888838570199203,0.003206500514614458
architecture,27,control,G0M0S0,0,0,0,300,300,-3.1154994250362873,-33.19871800357156,-33.19871800342509,0,0.08501480000268202,0.0,0.0,0.0
architecture,27,control,G0M0S1,0,0,1,300,300,-3.1154994250362873,-33.19871787269357,-33.19871787588129,0,0.30847370000265073,0.0,0.0,0.0014025322511349765
architecture,27,control,G0M1S0,0,1,0,300,300,-3.1154994250362873,-33.19871800507164,-33.198718005071,0,0.10214980000455398,0.0,0.23525638306897428,0.0
architecture,27,control,G0M1S1,0,1,1,300,300,-3.1154994250362873,-33.198717897905695,-33.19871790405052,0,0.3256058000115445,0.0,0.23528079159402718,0.001410300204549254
architecture,27,control,G1M0S0,1,0,0,300,300,-3.1154994250362873,-33.19871800364223,-33.198718003502705,0,0.23370159999467432,0.02290343081066052,0.0,0.0
architecture,27,control,G1M0S1,1,0,1,300,300,-3.1154994250362873,-33.198717872585206,-33.19871787587444,0,0.4712283999979263,0.022895839202471662,0.0,0.0014020163130594335
architecture,27,control,G1M1S0,1,1,0,300,300,-3.1154994250362873,-33.198718005071925,-33.19871800507133,0,0.25185600000259,0.025627431105752406,0.2333191436060962,0.0
architecture,27,control,G1M1S1,1,1,1,300,300,-3.1154994250362873,-33.198717897895996,-33.19871790404005,0,0.4558073000080185,0.02561991749979994,0.23334383521996135,0.0014098394391052376
architecture,27,hessian,G0M0S0,0,0,0,300,300,-3.1154994250362873,-33.198718005076955,-33.198718005076955,0,0.0756886999879498,0.0,0.0,0.0
architecture,27,hessian,G0M0S1,0,0,1,300,300,-3.1154994250362873,-33.19871743101074,-33.198717432622914,0,0.3045626999955857,0.0,0.0,0.00334209221108379
architecture,27,hessian,G0M1S0,0,1,0,300,300,-3.1154994250362873,-33.19871800507698,-33.19871800507698,0,0.08070929998939391,0.0,0.060652757243038036,0.0
architecture,27,hessian,G0M1S1,0,1,1,300,300,-3.1154994250362873,-33.198717558254046,-33.198717559553316,0,0.28914730000542477,0.0,0.06132931711663409,0.0033435556586528282
architecture,27,hessian,G1M0S0,1,0,0,300,300,-3.1154994250362873,-33.198718005076955,-33.198718005076955,0,0.21441939999931492,0.21588764934995802,0.0,0.0
architecture,27,hessian,G1M0S1,1,0,1,300,300,-3.1154994250362873,-33.19871743097992,-33.198717430978526,0,0.44803959999990184,0.21188051319289639,0.0,0.003573479631866335
architecture,27,hessian,G1M1S0,1,1,0,300,300,-3.1154994250362873,-25.29020681366535,-25.29020681366535,0,0.21890440001152456,0.8756105172352197,0.7643434212852765,0.0
architecture,27,hessian,G1M1S1,1,1,1,300,300,-3.1154994250362873,-25.290193151218745,-25.29020442308554,0,0.384785300004296,0.7329085574097731,0.49095787436095134,0.0090860287232767
architecture,28,control,G0M0S0,0,0,0,300,300,-1.2750518086080274,-33.19871797958156,-33.19871797722391,0,0.07959960000880528,0.0,0.0,0.0
architecture,28,control,G0M0S1,0,0,1,300,300,-1.2750518086080274,-33.19871786484127,-33.198717863577485,0,0.29308129999844823,0.0,0.0,0.001403331185779989
architecture,28,control,G0M1S0,0,1,0,300,300,-1.2750518086080274,-33.19871800492498,-33.198718004907604,0,0.08191350000561215,0.0,0.2639087354240486,0.0
architecture,28,control,G0M1S1,0,1,1,300,300,-1.2750518086080274,-33.19871789879767,-33.19871790101764,0,0.2890806999930646,0.0,0.263912915655943,0.0014131249213232223
architecture,28,control,G1M0S0,1,0,0,300,300,-1.2750518086080274,-33.1987179811499,-33.198717978937324,0,0.20496810000622645,0.02153406713215052,0.0,0.0
architecture,28,control,G1M0S1,1,0,1,300,300,-1.2750518086080274,-33.19871786567793,-33.19871786452492,0,0.43136329999833833,0.021528281013003442,0.0,0.001402993805929338
architecture,28,control,G1M1S0,1,1,0,300,300,-1.2750518086080274,-33.19871800493663,-33.19871800492059,0,0.23301599999831524,0.02423086403774977,0.2620624854719777,0.0
architecture,28,control,G1M1S1,1,1,1,300,300,-1.2750518086080274,-33.19871789875528,-33.19871790102614,0,0.4918387000070652,0.0242251344706993,0.2620670236793845,0.0014128279455754569
architecture,28,hessian,G0M0S0,0,0,0,300,300,-1.2750518086080274,-33.198718005076955,-33.198718005076955,0,0.07265750000078697,0.0,0.0,0.0
architecture,28,hessian,G0M0S1,0,0,1,300,300,-1.2750518086080274,-33.198717430982875,-33.19871743098165,0,0.29799339998862706,0.0,0.0,0.0032153181483644392
architecture,28,hessian,G0M1S0,0,1,0,300,300,-1.2750518086080274,-33.198718005076955,-33.198718005076984,0,0.07971390000602696,0.0,0.05839213480995586,0.0
architecture,28,hessian,G0M1S1,0,1,1,300,300,-1.2750518086080274,-33.1987175582539,-33.198717558253904,0,0.34568070000386797,0.0,0.05871880146319165,0.003178429563592007
architecture,28,hessian,G1M0S0,1,0,0,300,300,-1.2750518086080274,-33.198718005076955,-33.198718005076955,0,0.20694560000265483,0.049999234546142295,0.0,0.0
architecture,28,hessian,G1M0S1,1,0,1,300,300,-1.2750518086080274,-33.19871743098359,-33.198717430982406,0,0.44532829998934176,0.050218544708046695,0.0,0.0031825362199996393
architecture,28,hessian,G1M1S0,1,1,0,300,300,-1.2750518086080274,-33.19871800507697,-33.198718005076984,0,0.2260415000055218,0.0516972423415115,0.053766887862272815,0.0
architecture,28,hessian,G1M1S1,1,1,1,300,300,-1.2750518086080274,-33.19871755825389,-33.19871755825389,0,0.4180785000062315,0.05194702661854455,0.05408080785898156,0.003153653121259687
architecture,29,control,G0M0S0,0,0,0,300,300,-0.7656345268812805,-15.508237999514364,-15.50823250679316,0,0.07281180001155008,0.0,0.0,0.0
architecture,29,control,G0M0S1,0,0,1,300,300,-0.7656345268812805,-15.50824021602519,-15.508234776690585,0,0.3326893000048585,0.0,0.0,0.001295738832250863
architecture,29,control,G0M1S0,0,1,0,300,300,-0.7656345268812805,-15.508335501427005,-15.508334677938244,0,0.07620080000197049,0.0,0.1942737198076673,0.0
architecture,29,control,G0M1S1,0,1,1,300,300,-0.7656345268812805,-15.508336190863158,-15.508335386702328,0,0.33645409999007825,0.0,0.1942680511859065,0.0013029546613299772
architecture,29,control,G1M0S0,1,0,0,300,300,-0.7656345268812805,-15.508238524995772,-15.508233067580758,0,0.22550389998650644,0.017208346236278902,0.0,0.0
