seed,metric,configuration,step,loss
3,control,G1M0S1,0,0.187623669504918
3,control,G1M0S1,75,-9.441406555467514
3,control,G1M0S1,150,-23.279855653609463
3,control,G1M0S1,225,-24.1977784402081
3,control,G1M0S1,299,-24.286615207912867
3,control,G1M1S0,0,0.187623669504918
3,control,G1M1S0,75,-10.668865003401004
3,control,G1M1S0,150,-23.91587955151029
3,control,G1M1S0,225,-24.23224635235167
3,control,G1M1S0,299,-24.333516381909362
3,control,G1M1S1,0,0.187623669504918
3,control,G1M1S1,75,-10.666809529507542
3,control,G1M1S1,150,-23.916001823475145
3,control,G1M1S1,225,-24.23241733748387
3,control,G1M1S1,299,-24.333834572768776
3,hessian,G0M0S0,0,0.187623669504918
3,hessian,G0M0S0,75,-25.288418209787434
3,hessian,G0M0S0,150,-25.290206425288773
3,hessian,G0M0S0,225,-25.29020681357932
3,hessian,G0M0S0,299,-25.290206813665336
3,hessian,G0M0S1,0,0.187623669504918
3,hessian,G0M0S1,75,-25.28828880920963
3,hessian,G0M0S1,150,-25.29018693247859
3,hessian,G0M0S1,225,-25.29018921081109
3,hessian,G0M0S1,299,-25.2901892432821
3,hessian,G0M1S0,0,0.187623669504918
3,hessian,G0M1S0,75,-25.289981991327323
3,hessian,G0M1S0,150,-25.290206809958118
3,hessian,G0M1S0,225,-25.2902068136653
3,hessian,G0M1S0,299,-25.290206813665364
3,hessian,G0M1S1,0,0.187623669504918
3,hessian,G0M1S1,75,-25.289959399965312
3,hessian,G0M1S1,150,-25.29019294179822
3,hessian,G0M1S1,225,-25.29019314974878
3,hessian,G0M1S1,299,-25.290193150780546
3,hessian,G1M0S0,0,0.187623669504918
3,hessian,G1M0S0,75,-25.25074656238271
3,hessian,G1M0S0,150,-25.290197238074295
3,hessian,G1M0S0,225,-25.290206811200356
3,hessian,G1M0S0,299,-25.29020681366464
3,hessian,G1M0S1,0,0.187623669504918
3,hessian,G1M0S1,75,-25.25568340335928
3,hessian,G1M0S1,150,-25.290171497925932
