study,seed,configuration,steps,initial_train_loss,final_train_loss,validation_loss,validation_accuracy,runtime_s,examples_per_second,peak_gpu_memory_mb,target_accuracy,updates_to_target,time_to_target_s,target_reached,device,torch_version
gpu_neural,1,SGD_momentum,600,2.310523509979248,0.02784700319170952,0.2173149287700653,0.911865234375,2.7144140000018524,113173.59842669185,50.974609375,0.9,325,1.4874592999985907,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,1,AdamW,600,2.310523509979248,0.031141921877861023,0.3468647003173828,0.892578125,3.1415437000105157,97786.320782032,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,2,HG_metric_momentum,600,2.3053693771362305,0.03767459839582443,0.5368818044662476,0.8603515625,5.73863180000626,53531.92375919028,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,2,HG_metric_no_momentum,600,2.3053693771362305,0.10473348200321198,0.2216465026140213,0.907470703125,5.743691299998318,53484.76858428829,51.73779296875,0.9,425,4.111335299996426,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,2,HG_scalar_momentum,600,2.3053693771362305,0.03130719065666199,0.5715905427932739,0.85791015625,5.681085299991537,54074.17487649017,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,2,HG_scalar_no_momentum,600,2.3053693771362305,0.10022015869617462,0.22007179260253906,0.908203125,5.67336480000813,54147.76077849952,51.73779296875,0.9,425,4.03650970000308,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,2,SGD_momentum,600,2.3053693771362305,0.025906234979629517,0.2196630835533142,0.908935546875,2.613004099999671,117565.83160357027,50.974609375,0.9,325,1.4146630000032019,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,2,AdamW,600,2.3053693771362305,0.022344790399074554,0.3417261838912964,0.88916015625,3.2689987999910954,93973.72675720676,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,3,HG_metric_momentum,600,2.301952362060547,0.05084483325481415,0.5752977132797241,0.85546875,5.756129600005806,53369.19446700611,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,3,HG_metric_no_momentum,600,2.301952362060547,0.10416509211063385,0.22114995121955872,0.9111328125,5.59926240000641,54864.36927829072,51.73779296875,0.9,450,4.151201300002867,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,3,HG_scalar_momentum,600,2.301952362060547,0.03721480444073677,0.5326303243637085,0.860595703125,5.8743044000002556,52295.55349565927,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,3,HG_scalar_no_momentum,600,2.301952362060547,0.0993230789899826,0.21953728795051575,0.911376953125,6.213250200002221,49442.721620946504,51.73779296875,0.9,425,4.552228300002753,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,3,SGD_momentum,600,2.301952362060547,0.023279959335923195,0.20972266793251038,0.912109375,2.565618100008578,119737.22823321713,50.974609375,0.9,275,1.2027619000000414,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,3,AdamW,600,2.301952362060547,0.045634761452674866,0.41112393140792847,0.87939453125,3.3876574999885634,90682.13064663034,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,4,HG_metric_momentum,600,2.3096773624420166,0.03386961668729782,0.5183722376823425,0.864501953125,5.749194100004388,53433.576020640096,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,4,HG_metric_no_momentum,600,2.3096773624420166,0.10801087319850922,0.22283196449279785,0.90966796875,5.729120399992098,53620.79665849294,51.73779296875,0.9,400,3.8348323999962304,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,4,HG_scalar_momentum,600,2.3096773624420166,0.0330548956990242,0.4752182364463806,0.867431640625,5.666452000004938,54213.81845284003,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,4,HG_scalar_no_momentum,600,2.3096773624420166,0.1033112183213234,0.22124072909355164,0.90966796875,5.691793600009987,53972.442008343554,51.73779296875,0.9,400,3.877337300000363,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,4,SGD_momentum,600,2.3096773624420166,0.025291886180639267,0.2058926224708557,0.9150390625,2.870727600005921,107011.1981364468,50.974609375,0.9,325,1.528469099997892,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,4,AdamW,600,2.3096773624420166,0.015773948282003403,0.29432016611099243,0.903076171875,3.3359448999981396,92087.85193069925,51.73779296875,0.9,475,2.696033100000932,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,5,HG_metric_momentum,600,2.309807777404785,0.030620038509368896,0.5945644378662109,0.85791015625,5.638901300000725,54478.69782717433,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
