step,optimizer,loss
77,sgd,19.9996325513
77,adam,19.9873196091
77,falling_ball,19.9983444914
77,entropy_descent,17.45478043
77,hamiltonian_geometric,17.1513510111
78,sgd,19.9996286329
78,adam,19.9871107034
78,falling_ball,19.9983249312
78,entropy_descent,17.4489628481
78,hamiltonian_geometric,17.1502078187
79,sgd,19.9996247226
79,adam,19.9871392442
79,falling_ball,19.9983054115
79,entropy_descent,17.4433392792
79,hamiltonian_geometric,17.1491978391
80,sgd,19.9996208204
80,adam,19.986866721
80,falling_ball,19.998285932
80,entropy_descent,17.437902311
80,hamiltonian_geometric,17.1483220318
81,sgd,19.999616926
81,adam,19.9867328432
81,falling_ball,19.9982664921
81,entropy_descent,17.4326448222
81,hamiltonian_geometric,17.1475720029
82,sgd,19.9996130394
82,adam,19.9865699874
82,falling_ball,19.9982470914
82,entropy_descent,17.4275599709
82,hamiltonian_geometric,17.1469320861
83,sgd,19.9996091604
83,adam,19.9864030906
83,falling_ball,19.9982277294
83,entropy_descent,17.4226411835
83,hamiltonian_geometric,17.1463816566
84,sgd,19.999605289
84,adam,19.9863260365
84,falling_ball,19.9982084057
84,entropy_descent,17.4178821441
84,hamiltonian_geometric,17.1458974629
85,sgd,19.999601425
85,adam,19.9863094071
85,falling_ball,19.9981891199
85,entropy_descent,17.4132767845
85,hamiltonian_geometric,17.1454557908
86,sgd,19.9995975684
86,adam,19.9860156974
86,falling_ball,19.9981698715
86,entropy_descent,17.4088192743
86,hamiltonian_geometric,17.1450343209
87,sgd,19.999593719
87,adam,19.985790878
87,falling_ball,19.9981506603
87,entropy_descent,17.4045040115
87,hamiltonian_geometric,17.1446135841
88,sgd,19.9995898767
88,adam,19.9857993742
88,falling_ball,19.9981314859
88,entropy_descent,17.4003256135
88,hamiltonian_geometric,17.1441779663
89,sgd,19.9995860415
89,adam,19.9857823838
89,falling_ball,19.9981123478
89,entropy_descent,17.3962789085
89,hamiltonian_geometric,17.1437162577
90,sgd,19.9995822133
90,adam,19.9854933302
90,falling_ball,19.9980932458
90,entropy_descent,17.3923589272
90,hamiltonian_geometric,17.1432217768
91,sgd,19.9995783919
91,adam,19.9853330153
91,falling_ball,19.9980741795
91,entropy_descent,17.3885608947
91,hamiltonian_geometric,17.1426921267
92,sgd,19.9995745773
92,adam,19.9853068751
92,falling_ball,19.9980551486
92,entropy_descent,17.384880223
92,hamiltonian_geometric,17.1421286632
93,sgd,19.9995707694
93,adam,19.9851790532
93,falling_ball,19.9980361527
93,entropy_descent,17.3813125034
93,hamiltonian_geometric,17.141535759
94,sgd,19.9995669681
94,adam,19.9849886993
94,falling_ball,19.9980171916
94,entropy_descent,17.3778534997
94,hamiltonian_geometric,17.1409199564
95,sgd,19.9995631733
95,adam,19.9849235121
95,falling_ball,19.997998265
95,entropy_descent,17.3744991412
95,hamiltonian_geometric,17.1402890891
96,sgd,19.999559385
96,adam,19.9848062794
96,falling_ball,19.9979793726
96,entropy_descent,17.3712455162
96,hamiltonian_geometric,17.1396514479
97,sgd,19.9995556031
97,adam,19.9846501934
97,falling_ball,19.997960514
97,entropy_descent,17.3680888658
97,hamiltonian_geometric,17.1390150452
98,sgd,19.9995518275
98,adam,19.9845249697
98,falling_ball,19.9979416891
98,entropy_descent,17.3650255778
98,hamiltonian_geometric,17.1383870217
