x_m,y_m,potential_V
-0.021,-0.035,-1.35530534293
-0.02,-0.035,-1.36878368521
-0.019,-0.035,-1.38116431596
-0.018,-0.035,-1.3924632512
-0.017,-0.035,-1.40269650382
-0.016,-0.035,-1.41188008605
-0.015,-0.035,-1.42003000989
-0.014,-0.035,-1.42716228574
-0.013,-0.035,-1.43329291957
-0.012,-0.035,-1.43843790907
-0.011,-0.035,-1.44261323939
-0.01,-0.035,-1.4458348788
-0.009,-0.035,-1.44811877493
-0.008,-0.035,-1.44948085191
-0.007,-0.035,-1.44993700882
-0.006,-0.035,-1.4495031195
-0.005,-0.035,-1.44819503401
-0.004,-0.035,-1.44602858151
-0.003,-0.035,-1.44301957456
-0.002,-0.035,-1.43918381456
-0.001,-0.035,-1.43453709808
0,-0.035,-1.42909522378
0.001,-0.035,-1.42287399962
0.002,-0.035,-1.41588924999
0.003,-0.035,-1.40815682262
0.004,-0.035,-1.39969259491
0.005,-0.035,-1.39051247952
0.006,-0.035,-1.38063242924
0.007,-0.035,-1.37006844074
0.008,-0.035,-1.35883655756
0.009,-0.035,-1.34695287204
0.01,-0.035,-1.3344335264
0.011,-0.035,-1.32129471295
0.012,-0.035,-1.30755267369
0.013,-0.035,-1.29322369922
0.014,-0.035,-1.27832412712
0.015,-0.035,-1.26287034004
0.016,-0.035,-1.24687876341
0.017,-0.035,-1.23036586295
0.018,-0.035,-1.21334814198
0.019,-0.035,-1.19584213864
0.02,-0.035,-1.17786442298
0.021,-0.035,-1.15943159383
0.022,-0.035,-1.14056027568
0.023,-0.035,-1.12126711528
0.024,-0.035,-1.10156877821
0.025,-0.035,-1.08148194536
0.026,-0.035,-1.06102330937
0.027,-0.035,-1.04020957135
0.028,-0.035,-1.01905743792
0.029,-0.035,-0.997583618853
0.03,-0.035,-0.975804825634
0.031,-0.035,-0.95373777096
0.032,-0.035,-0.931399169385
0.033,-0.035,-0.908805738912
0.034,-0.035,-0.885974203167
0.035,-0.035,-0.862921293427
0.036,-0.035,-0.839663749405
0.037,-0.035,-0.816218317271
0.038,-0.035,-0.792601743001
0.039,-0.035,-0.768830758816
0.04,-0.035,-0.744922060239
-0.04,-0.034,-0.821230669096
-0.039,-0.034,-0.858112567871
-0.038,-0.034,-0.893611532481
-0.037,-0.034,-0.927744251046
-0.036,-0.034,-0.960527451782
-0.035,-0.034,-0.991977871867
-0.034,-0.034,-1.02211223065
-0.033,-0.034,-1.05094720726
-0.032,-0.034,-1.07849942258
-0.031,-0.034,-1.10478542563
-0.03,-0.034,-1.12982168415
-0.029,-0.034,-1.15362457927
-0.028,-0.034,-1.17621040394
-0.027,-0.034,-1.19759536484
-0.026,-0.034,-1.21779558715
-0.025,-0.034,-1.23682712183
-0.024,-0.034,-1.25470595464
-0.023,-0.034,-1.27144801627
-0.022,-0.034,-1.28706919306
-0.021,-0.034,-1.30158533741
-0.02,-0.034,-1.31501227749
-0.019,-0.034,-1.3273658256
-0.018,-0.034,-1.33866178486
-0.017,-0.034,-1.34891595389
-0.016,-0.034,-1.35814412949
-0.015,-0.034,-1.36636210726
-0.014,-0.034,-1.37358568047
-0.013,-0.034,-1.37983063742
-0.012,-0.034,-1.38511275795
-0.011,-0.034,-1.38944780923
-0.01,-0.034,-1.39285154178
-0.009,-0.034,-1.3953396858
-0.008,-0.034,-1.39692794851
-0.007,-0.034,-1.39763201261
-0.006,-0.034,-1.39746753616
-0.005,-0.034,-1.39645015395
-0.004,-0.034,-1.3945954803
-0.003,-0.034,-1.39191911309
-0.002,-0.034,-1.388436639
-0.001,-0.034,-1.38416363954
0,-0.034,-1.37911569755
0.001,-0.034,-1.37330840405
0.002,-0.034,-1.36675736501
0.003,-0.034,-1.35947820778
0.004,-0.034,-1.35148658706
0.005,-0.034,-1.34279819011
0.006,-0.034,-1.33342874121
0.007,-0.034,-1.3233940052
0.008,-0.034,-1.31270979008
0.009,-0.034,-1.3013919488
0.01,-0.034,-1.2894563801
0.011,-0.034,-1.2769190287
0.012,-0.034,-1.26379588474
0.013,-0.034,-1.25010298275
0.014,-0.034,-1.23585640009
0.015,-0.034,-1.22107225514
0.016,-0.034,-1.2057667051
0.017,-0.034,-1.18995594375
0.018,-0.034,-1.17365619894
0.019,-0.034,-1.15688373003
0.02,-0.034,-1.13965482516
0.021,-0.034,-1.12198579844
0.022,-0.034,-1.10389298688
0.023,-0.034,-1.08539274728
0.024,-0.034,-1.06650145288
0.025,-0.034,-1.0472354899
0.026,-0.034,-1.02761125418
0.027,-0.034,-1.00764514784
0.028,-0.034,-0.987353576404
0.029,-0.034,-0.966752946586
0.03,-0.034,-0.945859664891
0.031,-0.034,-0.924690137385
0.032,-0.034,-0.903260770667
0.033,-0.034,-0.881587973964
0.034,-0.034,-0.859688162002
0.035,-0.034,-0.837577757973
0.036,-0.034,-0.815273195483
0.037,-0.034,-0.792790918008
0.038,-0.034,-0.770147373912
0.039,-0.034,-0.74735900476
0.04,-0.034,-0.724442224421
-0.04,-0.033,-0.77477869984
-0.039,-0.033,-0.811092035187
-0.038,-0.033,-0.846050523706
-0.037,-0.033,-0.879670683788
-0.036,-0.033,-0.911969067837
-0.035,-0.033,-0.942962232277
-0.034,-0.033,-0.972666711704
-0.033,-0.033,-1.00109899724
-0.032,-0.033,-1.02827551909
-0.031,-0.033,-1.05421263334
-0.03,-0.033,-1.07892661282
-0.029,-0.033,-1.10243364197
-0.028,-0.033,-1.12474981537
-0.027,-0.033,-1.14589113963
-0.026,-0.033,-1.16587353824
-0.025,-0.033,-1.18471285875
-0.024,-0.033,-1.20242488179
-0.023,-0.033,-1.21902533123
-0.022,-0.033,-1.23452988481
-0.021,-0.033,-1.24895418464
-0.02,-0.033,-1.26231384696
-0.019,-0.033,-1.27462447054
-0.018,-0.033,-1.28590164351
-0.017,-0.033,-1.29616094817
-0.016,-0.033,-1.30541796381
-0.015,-0.033,-1.31368826752
-0.014,-0.033,-1.32098743326
-0.013,-0.033,-1.32733102947
-0.012,-0.033,-1.33273461573
-0.011,-0.033,-1.33721373886
-0.01,-0.033,-1.34078392909
-0.009,-0.033,-1.34346069658
-0.008,-0.033,-1.34525952893
-0.007,-0.033,-1.3461958897
-0.006,-0.033,-1.34628521835
